,chr,start,stop,length
121,NW_022145570.1,1153039,1153559,520
122,NW_022145570.1,2879510,2879598,88
123,NW_022145570.1,3391030,3391715,685
124,NW_022145570.1,3394939,3399313,4374
125,NW_022145570.1,3405839,3407396,1557
126,NW_022145570.1,3410325,3415688,5363
127,NW_022145570.1,3418617,3421277,2660
128,NW_022145570.1,3423927,3425622,1695
129,NW_022145570.1,3432908,3443139,10231
130,NW_022145570.1,3445964,3456252,10288
131,NW_022145570.1,3460835,3463440,2605
132,NW_022145570.1,3947068,3952473,5405
133,NW_022145570.1,3955929,3958457,2528
134,NW_022145570.1,4146228,4149998,3770
135,NW_022145570.1,4369142,4369821,679
136,NW_022145570.1,4569521,4571547,2026
137,NW_022145572.1,555625,558167,2542
138,NW_022145572.1,723926,739295,15369
139,NW_022145572.1,811002,811549,547
140,NW_022145572.1,954594,965906,11312
141,NW_022145573.1,463632,485386,21754
142,NW_022145574.1,157697,158779,1082
143,NW_022145574.1,634130,646062,11932
144,NW_022145574.1,779760,780422,662
145,NW_022145574.1,1136673,1139262,2589
146,NW_022145575.1,34149,34559,410
147,NW_022145575.1,349066,349216,150
148,NW_022145575.1,405991,407268,1277
149,NW_022145575.1,782136,782191,55
150,NW_022145575.1,785182,787226,2044
151,NW_022145575.1,837458,841077,3619
152,NW_022145575.1,843772,850938,7166
153,NW_022145575.1,1387864,1389585,1721
154,NW_022145575.1,1894533,1896675,2142
155,NW_022145575.1,2852608,2854380,1772
156,NW_022145576.1,75450,76586,1136
157,NW_022145576.1,847505,847926,421
158,NW_022145576.1,2063877,2078938,15061
159,NW_022145576.1,2094184,2100901,6717
160,NW_022145576.1,2109970,2110026,56
161,NW_022145576.1,2116220,2120001,3781
162,NW_022145576.1,2178380,2183942,5562
163,NW_022145576.1,2195704,2195800,96
164,NW_022145576.1,2244236,2244783,547
165,NW_022145576.1,2684711,2691205,6494
166,NW_022145578.1,596523,597286,763
167,NW_022145580.1,1019678,1032057,12379
168,NW_022145594.1,937703,941465,3762
169,NW_022145594.1,1108138,1109589,1451
170,NW_022145594.1,1110852,1116714,5862
171,NW_022145594.1,1117524,1119616,2092
172,NW_022145594.1,1346526,1348095,1569
173,NW_022145594.1,1471928,1473838,1910
174,NW_022145594.1,1916122,1919399,3277
175,NW_022145594.1,2245043,2254981,9938
176,NW_022145594.1,2306264,2307840,1576
177,NW_022145594.1,2314306,2317391,3085
178,NW_022145594.1,2490962,2490964,2
179,NW_022145594.1,2599617,2604407,4790
180,NW_022145594.1,2677800,2690845,13045
181,NW_022145594.1,2696575,2698000,1425
182,NW_022145594.1,2797210,2799215,2005
183,NW_022145594.1,3199304,3200077,773
184,NW_022145594.1,3379883,3382398,2515
185,NW_022145594.1,3419147,3420958,1811
186,NW_022145594.1,3481522,3481944,422
187,NW_022145594.1,3631206,3634180,2974
188,NW_022145594.1,3930540,3942434,11894
189,NW_022145594.1,4072724,4076365,3641
190,NW_022145594.1,4076862,4079462,2600
191,NW_022145594.1,4099201,4099971,770
192,NW_022145594.1,4358941,4360644,1703
193,NW_022145594.1,4590699,4592218,1519
194,NW_022145594.1,4702751,4726520,23769
195,NW_022145594.1,4768716,4771667,2951
196,NW_022145594.1,4850489,4851222,733
197,NW_022145594.1,5225713,5232260,6547
198,NW_022145594.1,5283635,5285667,2032
199,NW_022145594.1,5640860,5642010,1150
200,NW_022145594.1,5900526,5909707,9181
201,NW_022145594.1,6527956,6529042,1086
202,NW_022145594.1,6631892,6634408,2516
203,NW_022145594.1,6895339,6896576,1237
204,NW_022145594.1,7479901,7482750,2849
205,NW_022145594.1,7857341,7859118,1777
206,NW_022145594.1,7883830,7892842,9012
207,NW_022145594.1,8191849,8192074,225
208,NW_022145594.1,8196952,8198105,1153
209,NW_022145594.1,8259153,8263641,4488
210,NW_022145594.1,8391030,8402429,11399
211,NW_022145594.1,8441671,8444507,2836
212,NW_022145594.1,8389250,8390311,1061
213,NW_022145594.1,8393403,8413244,19841
214,NW_022145594.1,8582037,8584219,2182
215,NW_022145594.1,9108490,9112691,4201
216,NW_022145594.1,9711128,9713482,2354
217,NW_022145594.1,9815753,9816789,1036
218,NW_022145594.1,9920182,9920696,514
219,NW_022145594.1,9935735,9935813,78
220,NW_022145594.1,9936369,9938477,2108
221,NW_022145594.1,9953793,9953816,23
222,NW_022145594.1,10093464,10096281,2817
223,NW_022145594.1,10603890,10604403,513
224,NW_022145594.1,10610972,10615523,4551
225,NW_022145594.1,10618317,10628962,10645
226,NW_022145594.1,10680764,10680965,201
227,NW_022145594.1,10684838,10689814,4976
228,NW_022145594.1,11060354,11062384,2030
229,NW_022145594.1,11150388,11150949,561
230,NW_022145594.1,11151575,11152669,1094
231,NW_022145594.1,11189406,11194125,4719
232,NW_022145594.1,11194711,11197637,2926
233,NW_022145594.1,11261934,11263279,1345
234,NW_022145594.1,11740004,11741306,1302
235,NW_022145594.1,12443028,12446484,3456
236,NW_022145594.1,13835597,13845971,10374
237,NW_022145594.1,13918099,13921501,3402
238,NW_022145594.1,14037802,14041083,3281
239,NW_022145594.1,14191695,14194110,2415
240,NW_022145594.1,14260350,14263091,2741
241,NW_022145594.1,14367635,14368671,1036
242,NW_022145594.1,14710045,14711649,1604
243,NW_022145594.1,14715868,14719123,3255
244,NW_022145594.1,14897361,14899267,1906
245,NW_022145594.1,15040519,15042128,1609
246,NW_022145594.1,15211390,15213159,1769
247,NW_022145594.1,15373693,15381442,7749
248,NW_022145594.1,16541774,16543188,1414
249,NW_022145594.1,16602359,16603348,989
250,NW_022145594.1,17018118,17020410,2292
251,NW_022145594.1,17388106,17388953,847
252,NW_022145594.1,17402652,17403150,498
253,NW_022145594.1,17625313,17627234,1921
254,NW_022145594.1,17689418,17690942,1524
255,NW_022145594.1,17826392,17855968,29576
256,NW_022145594.1,17858345,17881348,23003
257,NW_022145594.1,18016931,18019495,2564
258,NW_022145594.1,18107557,18111220,3663
259,NW_022145594.1,18117431,18118063,632
260,NW_022145594.1,18133150,18149221,16071
261,NW_022145594.1,18154914,18155572,658
262,NW_022145594.1,18171643,18182434,10791
263,NW_022145594.1,18187876,18197589,9713
264,NW_022145594.1,18759911,18762260,2349
265,NW_022145594.1,18919301,18922536,3235
266,NW_022145594.1,18937689,18946690,9001
267,NW_022145594.1,18956318,18956321,3
268,NW_022145594.1,18996839,18996841,2
269,NW_022145594.1,19003247,19028446,25199
270,NW_022145594.1,19034273,19038076,3803
271,NW_022145594.1,19055692,19056005,313
272,NW_022145594.1,19067230,19068080,850
273,NW_022145594.1,19073177,19073822,645
274,NW_022145594.1,19384183,19392996,8813
275,NW_022145594.1,19457303,19468520,11217
276,NW_022145594.1,19472925,19488773,15848
277,NW_022145594.1,20160443,20165580,5137
278,NW_022145594.1,20365420,20367119,1699
279,NW_022145594.1,20756332,20760827,4495
280,NW_022145594.1,20776944,20778645,1701
281,NW_022145594.1,22221640,22223970,2330
282,NW_022145594.1,22251256,22254807,3551
283,NW_022145594.1,22489562,22491841,2279
284,NW_022145594.1,22817947,22819850,1903
285,NW_022145594.1,23028792,23031439,2647
286,NW_022145594.1,23100954,23102698,1744
287,NW_022145594.1,23693615,23698070,4455
288,NW_022145594.1,23845640,23847664,2024
289,NW_022145594.1,24036051,24038346,2295
290,NW_022145594.1,24064092,24066688,2596
291,NW_022145594.1,24548360,24548818,458
292,NW_022145594.1,24634574,24637151,2577
293,NW_022145594.1,24791097,24795278,4181
294,NW_022145594.1,24833439,24834784,1345
295,NW_022145594.1,24838807,24842702,3895
296,NW_022145594.1,25144148,25167936,23788
297,NW_022145594.1,25498228,25501312,3084
298,NW_022145594.1,25786487,25788658,2171
299,NW_022145594.1,25970834,25970993,159
300,NW_022145594.1,25985328,25986867,1539
301,NW_022145594.1,26381302,26387243,5941
302,NW_022145594.1,26728557,26728845,288
303,NW_022145594.1,26846555,26893953,47398
304,NW_022145594.1,26927639,26955399,27760
305,NW_022145594.1,27044813,27046770,1957
306,NW_022145594.1,27105590,27108253,2663
307,NW_022145594.1,27545079,27556515,11436
308,NW_022145594.1,27560624,27562968,2344
309,NW_022145594.1,27567091,27569148,2057
310,NW_022145594.1,27588852,27591842,2990
311,NW_022145594.1,27597719,27663059,65340
312,NW_022145594.1,27681391,27685498,4107
313,NW_022145594.1,28719835,28721134,1299
314,NW_022145594.1,29138750,29145966,7216
315,NW_022145594.1,29603528,29605899,2371
316,NW_022145594.1,29968405,29970057,1652
317,NW_022145594.1,31463167,31464947,1780
318,NW_022145594.1,31738431,31742634,4203
319,NW_022145594.1,31756929,31757878,949
320,NW_022145594.1,32201975,32203719,1744
321,NW_022145594.1,32563432,32567167,3735
322,NW_022145594.1,33243800,33251222,7422
323,NW_022145594.1,33383771,33388801,5030
324,NW_022145594.1,33591815,33596770,4955
325,NW_022145594.1,33641516,33641543,27
326,NW_022145594.1,33648701,33649141,440
327,NW_022145594.1,33709426,33710732,1306
328,NW_022145594.1,33982111,33982514,403
329,NW_022145594.1,34125128,34128202,3074
330,NW_022145594.1,34222092,34225040,2948
331,NW_022145594.1,35764240,35769184,4944
332,NW_022145594.1,35995787,35996517,730
333,NW_022145594.1,35996599,35999495,2896
334,NW_022145594.1,36353490,36402096,48606
335,NW_022145594.1,36494096,36518015,23919
336,NW_022145594.1,36587713,36590099,2386
337,NW_022145594.1,36590235,36590635,400
338,NW_022145594.1,37163204,37165710,2506
339,NW_022145594.1,38393411,38398048,4637
340,NW_022145594.1,38428477,38429442,965
341,NW_022145594.1,38431120,38432618,1498
342,NW_022145594.1,38433840,38434651,811
343,NW_022145594.1,38448170,38448868,698
344,NW_022145594.1,38541237,38541977,740
345,NW_022145594.1,38546459,38559746,13287
346,NW_022145594.1,38677527,38679377,1850
347,NW_022145594.1,38722548,38727667,5119
348,NW_022145594.1,38732552,38737781,5229
349,NW_022145594.1,38939877,38942292,2415
350,NW_022145594.1,39077432,39080565,3133
351,NW_022145594.1,39081567,39086462,4895
352,NW_022145594.1,39242909,39250280,7371
353,NW_022145594.1,39255930,39257031,1101
354,NW_022145594.1,39296339,39298502,2163
355,NW_022145594.1,39570493,39574306,3813
356,NW_022145594.1,40128783,40129437,654
357,NW_022145594.1,40220257,40223533,3276
358,NW_022145594.1,40708605,40711817,3212
359,NW_022145594.1,41678997,41681609,2612
360,NW_022145594.1,42169729,42173307,3578
361,NW_022145594.1,42268896,42311549,42653
362,NW_022145594.1,42813444,42827131,13687
363,NW_022145594.1,42845873,42846955,1082
364,NW_022145594.1,42972379,42973207,828
365,NW_022145594.1,43056632,43061522,4890
366,NW_022145594.1,43061589,43063172,1583
367,NW_022145594.1,43098158,43102611,4453
368,NW_022145594.1,43517301,43517975,674
369,NW_022145594.1,43587764,43593055,5291
370,NW_022145594.1,43588340,43590542,2202
371,NW_022145594.1,45618481,45620166,1685
372,NW_022145594.1,45628948,45631355,2407
373,NW_022145594.1,45906624,45908441,1817
374,NW_022145594.1,46113185,46124976,11791
375,NW_022145594.1,46774586,46775593,1007
376,NW_022145594.1,46785859,46794148,8289
377,NW_022145594.1,46838096,46839923,1827
378,NW_022145594.1,47478289,47490438,12149
379,NW_022145594.1,47558392,47560812,2420
380,NW_022145594.1,47738350,47740697,2347
381,NW_022145594.1,47741583,47743554,1971
382,NW_022145594.1,48280707,48283448,2741
383,NW_022145594.1,48475783,48477720,1937
384,NW_022145594.1,48477906,48479159,1253
385,NW_022145594.1,48956500,48958570,2070
386,NW_022145594.1,49406475,49407782,1307
387,NW_022145594.1,49573450,49577169,3719
388,NW_022145594.1,49613239,49617023,3784
389,NW_022145594.1,49929237,49931406,2169
390,NW_022145594.1,50080381,50082335,1954
391,NW_022145594.1,50384689,50387096,2407
392,NW_022145594.1,51173505,51219183,45678
393,NW_022145594.1,51231355,51239321,7966
394,NW_022145594.1,51597216,51598315,1099
395,NW_022145594.1,51632623,51632710,87
396,NW_022145594.1,51971513,51973205,1692
397,NW_022145594.1,51975602,51986418,10816
398,NW_022145594.1,52534963,52538289,3326
399,NW_022145594.1,53053194,53056820,3626
400,NW_022145595.1,280088,280362,274
401,NW_022145595.1,776007,779116,3109
402,NW_022145595.1,1028085,1031223,3138
403,NW_022145595.1,1142053,1142979,926
404,NW_022145595.1,1155317,1155428,111
405,NW_022145595.1,1266969,1268383,1414
406,NW_022145595.1,1600225,1602398,2173
407,NW_022145595.1,1645588,1647851,2263
408,NW_022145595.1,1652829,1656933,4104
409,NW_022145595.1,1678542,1678784,242
410,NW_022145595.1,1685173,1687073,1900
411,NW_022145595.1,2522386,2523294,908
412,NW_022145595.1,2569390,2571559,2169
413,NW_022145595.1,2601693,2606223,4530
414,NW_022145595.1,2642210,2646834,4624
415,NW_022145595.1,2727714,2732120,4406
416,NW_022145595.1,2732868,2735423,2555
417,NW_022145595.1,2736576,2736965,389
418,NW_022145595.1,3166655,3171525,4870
419,NW_022145595.1,3286813,3287674,861
420,NW_022145595.1,3450902,3450916,14
421,NW_022145595.1,3491854,3493765,1911
422,NW_022145595.1,4584449,4586499,2050
423,NW_022145595.1,4591501,4591698,197
424,NW_022145595.1,4936316,4937422,1106
425,NW_022145595.1,5168959,5169603,644
426,NW_022145595.1,5220737,5227432,6695
427,NW_022145595.1,5700664,5703173,2509
428,NW_022145595.1,6060841,6062087,1246
429,NW_022145595.1,6080872,6080995,123
430,NW_022145595.1,6121201,6127641,6440
431,NW_022145595.1,6137831,6140447,2616
432,NW_022145595.1,7827855,7828623,768
433,NW_022145595.1,8139006,8141477,2471
434,NW_022145595.1,8147793,8149203,1410
435,NW_022145595.1,8280049,8286803,6754
436,NW_022145595.1,8467615,8468218,603
437,NW_022145595.1,8866513,8867740,1227
438,NW_022145595.1,8982896,8988064,5168
439,NW_022145595.1,8988150,8990818,2668
440,NW_022145595.1,9003429,9008178,4749
441,NW_022145595.1,9003331,9006533,3202
442,NW_022145595.1,9165554,9167753,2199
443,NW_022145595.1,9302087,9302177,90
444,NW_022145595.1,9499497,9502730,3233
445,NW_022145595.1,9815708,9817655,1947
446,NW_022145595.1,9998376,9998387,11
447,NW_022145595.1,10194874,10204429,9555
448,NW_022145595.1,10328069,10332609,4540
449,NW_022145595.1,10631947,10635207,3260
450,NW_022145595.1,11196574,11199967,3393
451,NW_022145595.1,11551563,11551858,295
452,NW_022145595.1,11607023,11621119,14096
453,NW_022145595.1,11654136,11656410,2274
454,NW_022145595.1,11688788,11690829,2041
455,NW_022145595.1,11966360,11968965,2605
456,NW_022145595.1,11969130,11972569,3439
457,NW_022145595.1,12599775,12601133,1358
458,NW_022145595.1,12664086,12668589,4503
459,NW_022145595.1,12763965,12764772,807
460,NW_022145595.1,12772597,12776761,4164
461,NW_022145595.1,12849481,12870090,20609
462,NW_022145595.1,13113535,13115036,1501
463,NW_022145595.1,13294747,13295728,981
464,NW_022145595.1,13348701,13353939,5238
465,NW_022145595.1,13419472,13419516,44
466,NW_022145595.1,13459051,13462856,3805
467,NW_022145595.1,13464003,13470182,6179
468,NW_022145595.1,13667892,13669915,2023
469,NW_022145595.1,13684503,13695361,10858
470,NW_022145595.1,13713843,13716903,3060
471,NW_022145595.1,14247393,14250034,2641
472,NW_022145595.1,14492273,14497626,5353
473,NW_022145595.1,14743441,14744534,1093
474,NW_022145595.1,14963953,14967743,3790
475,NW_022145595.1,14973285,14973520,235
476,NW_022145595.1,14982034,14984614,2580
477,NW_022145595.1,14987003,14988788,1785
478,NW_022145595.1,14994289,14996873,2584
479,NW_022145595.1,14988640,14996873,8233
480,NW_022145595.1,15018832,15020425,1593
481,NW_022145595.1,15028021,15029086,1065
482,NW_022145595.1,15035950,15037859,1909
483,NW_022145595.1,15046089,15055188,9099
484,NW_022145595.1,15065304,15066147,843
485,NW_022145595.1,15073419,15074017,598
486,NW_022145595.1,15219202,15219288,86
487,NW_022145595.1,15262006,15274437,12431
488,NW_022145595.1,15287694,15290377,2683
489,NW_022145595.1,15691692,15691757,65
490,NW_022145595.1,16088358,16089402,1044
491,NW_022145595.1,16354621,16356277,1656
492,NW_022145595.1,16659081,16661216,2135
493,NW_022145595.1,16696717,16698188,1471
494,NW_022145595.1,16748092,16758238,10146
495,NW_022145595.1,17007440,17010393,2953
496,NW_022145595.1,17064801,17067316,2515
497,NW_022145595.1,17139631,17146301,6670
498,NW_022145595.1,19458853,19464532,5679
499,NW_022145595.1,19475557,19489321,13764
500,NW_022145595.1,19981488,19985055,3567
501,NW_022145595.1,19990820,19994332,3512
502,NW_022145595.1,20222321,20224846,2525
503,NW_022145595.1,20275776,20281482,5706
504,NW_022145595.1,20293985,20295507,1522
505,NW_022145595.1,20294051,20295507,1456
506,NW_022145595.1,20349851,20351953,2102
507,NW_022145595.1,20521110,20522234,1124
508,NW_022145595.1,20539927,20540130,203
509,NW_022145595.1,20545764,20546588,824
510,NW_022145595.1,21136173,21138535,2362
511,NW_022145595.1,21138664,21142149,3485
512,NW_022145595.1,21143282,21145531,2249
513,NW_022145595.1,21150505,21188435,37930
514,NW_022145595.1,22246145,22250747,4602
515,NW_022145595.1,22676840,22679273,2433
516,NW_022145595.1,22707993,22715400,7407
517,NW_022145595.1,22721599,22725953,4354
518,NW_022145595.1,22878703,22880791,2088
519,NW_022145595.1,22924973,22929302,4329
520,NW_022145595.1,22930178,22934067,3889
521,NW_022145595.1,23540304,23541496,1192
522,NW_022145595.1,23589044,23589046,2
523,NW_022145595.1,23640264,23648483,8219
524,NW_022145595.1,23728842,23734714,5872
525,NW_022145595.1,23741193,23742971,1778
526,NW_022145595.1,23760293,23763594,3301
527,NW_022145595.1,23819430,23823860,4430
528,NW_022145595.1,23987462,23989219,1757
529,NW_022145595.1,24996092,24998777,2685
530,NW_022145595.1,25023799,25028184,4385
531,NW_022145595.1,25183313,25183812,499
532,NW_022145595.1,25189672,25191628,1956
533,NW_022145595.1,25193675,25197317,3642
534,NW_022145595.1,25336821,25336851,30
535,NW_022145595.1,25420343,25422630,2287
536,NW_022145595.1,25442792,25443770,978
537,NW_022145595.1,25668330,25670827,2497
538,NW_022145595.1,25791732,25791971,239
539,NW_022145595.1,25979004,25980310,1306
540,NW_022145595.1,27054049,27058561,4512
541,NW_022145595.1,27112898,27114204,1306
542,NW_022145595.1,27138437,27144638,6201
543,NW_022145595.1,27270768,27272466,1698
544,NW_022145595.1,27855529,27857925,2396
545,NW_022145595.1,27869729,27872259,2530
546,NW_022145595.1,27887966,27887972,6
547,NW_022145595.1,27962391,27963399,1008
548,NW_022145595.1,27968752,27973395,4643
549,NW_022145595.1,27979448,27980965,1517
550,NW_022145595.1,28191050,28195732,4682
551,NW_022145595.1,28567081,28569488,2407
552,NW_022145595.1,28611722,28612513,791
553,NW_022145595.1,29029263,29029273,10
554,NW_022145595.1,29096145,29098216,2071
555,NW_022145595.1,29391898,29393981,2083
556,NW_022145595.1,29670746,29670999,253
557,NW_022145595.1,29908377,29909305,928
558,NW_022145596.1,428917,430440,1523
559,NW_022145596.1,765717,779317,13600
560,NW_022145596.1,818187,820724,2537
561,NW_022145596.1,1511787,1515511,3724
562,NW_022145596.1,2092166,2092877,711
563,NW_022145596.1,2111810,2111865,55
564,NW_022145596.1,2583516,2585362,1846
565,NW_022145596.1,2958934,2961731,2797
566,NW_022145596.1,5002732,5005991,3259
567,NW_022145596.1,6145855,6146411,556
568,NW_022145596.1,7245633,7245638,5
569,NW_022145596.1,7408197,7409527,1330
570,NW_022145596.1,8208561,8209737,1176
571,NW_022145596.1,8250302,8252199,1897
572,NW_022145596.1,8255721,8256465,744
573,NW_022145596.1,8260526,8262121,1595
574,NW_022145596.1,8258025,8259400,1375
575,NW_022145596.1,8281577,8284859,3282
576,NW_022145596.1,8292217,8295157,2940
577,NW_022145596.1,8308355,8315911,7556
578,NW_022145596.1,8355226,8356037,811
579,NW_022145596.1,8515125,8515272,147
580,NW_022145596.1,8762105,8765722,3617
581,NW_022145596.1,8827379,8829808,2429
582,NW_022145596.1,9160414,9165750,5336
583,NW_022145596.1,9167821,9172827,5006
584,NW_022145596.1,9353241,9354163,922
585,NW_022145596.1,9577712,9578173,461
586,NW_022145596.1,9791359,9791423,64
587,NW_022145596.1,9887231,9892624,5393
588,NW_022145596.1,10171888,10174255,2367
589,NW_022145596.1,10350854,10352128,1274
590,NW_022145596.1,10463885,10466324,2439
591,NW_022145596.1,10813715,10814306,591
592,NW_022145596.1,11147370,11152447,5077
593,NW_022145596.1,11417707,11422983,5276
594,NW_022145596.1,12029251,12032691,3440
595,NW_022145596.1,12219734,12222368,2634
596,NW_022145596.1,12956714,12957754,1040
597,NW_022145596.1,12958332,12961194,2862
598,NW_022145596.1,13590857,13599399,8542
599,NW_022145596.1,13728412,13735016,6604
600,NW_022145596.1,14050721,14051498,777
601,NW_022145596.1,14056264,14056955,691
602,NW_022145596.1,14120307,14120775,468
603,NW_022145596.1,14121778,14122422,644
604,NW_022145596.1,15269926,15270906,980
605,NW_022145596.1,15335132,15335765,633
606,NW_022145596.1,15584427,15587582,3155
607,NW_022145596.1,15612312,15612832,520
608,NW_022145596.1,16105618,16106972,1354
609,NW_022145596.1,16105619,16107408,1789
610,NW_022145596.1,16112540,16112555,15
611,NW_022145596.1,16608554,16611632,3078
612,NW_022145596.1,16723020,16723135,115
613,NW_022145596.1,16723316,16725896,2580
614,NW_022145596.1,16910733,16914761,4028
615,NW_022145596.1,16915282,16919588,4306
616,NW_022145596.1,17363558,17366473,2915
617,NW_022145596.1,17703763,17712746,8983
618,NW_022145596.1,17715364,17720832,5468
619,NW_022145596.1,18032206,18033490,1284
620,NW_022145596.1,18045832,18048232,2400
621,NW_022145596.1,18114917,18130169,15252
622,NW_022145596.1,18640954,18640966,12
623,NW_022145596.1,19991118,19991258,140
624,NW_022145596.1,22071099,22072215,1116
625,NW_022145596.1,22390602,22392125,1523
626,NW_022145596.1,22822815,22823857,1042
627,NW_022145596.1,22824247,22828662,4415
628,NW_022145596.1,22868131,22869234,1103
629,NW_022145596.1,23033569,23038419,4850
630,NW_022145596.1,23706053,23706433,380
631,NW_022145596.1,24187857,24190280,2423
632,NW_022145596.1,24490999,24492473,1474
633,NW_022145596.1,25062875,25066047,3172
634,NW_022145596.1,25168069,25171331,3262
635,NW_022145596.1,25567267,25568578,1311
636,NW_022145596.1,25706417,25706525,108
637,NW_022145596.1,26559072,26559131,59
638,NW_022145596.1,27484827,27486866,2039
639,NW_022145596.1,27602532,27605347,2815
640,NW_022145596.1,27975880,27986847,10967
641,NW_022145596.1,27981463,27986265,4802
642,NW_022145596.1,28419263,28421012,1749
643,NW_022145596.1,28421409,28424474,3065
644,NW_022145596.1,28662330,28664378,2048
645,NW_022145596.1,29043668,29044990,1322
646,NW_022145596.1,29678619,29680376,1757
647,NW_022145596.1,29701795,29702054,259
648,NW_022145596.1,29781300,29784736,3436
649,NW_022145596.1,29826043,29826491,448
650,NW_022145596.1,29991895,29993872,1977
