chr,start,stop
##sequence-region NW_022144852.1 1 13005,,
##sequence-region NW_022144853.1 1 12874,,
##sequence-region NW_022144854.1 1 12677,,
##sequence-region NW_022144855.1 1 12615,,
##sequence-region NW_022144856.1 1 12598,,
##sequence-region NW_022144857.1 1 12436,,
##sequence-region NW_022144858.1 1 12426,,
##sequence-region NW_022144859.1 1 12331,,
##sequence-region NW_022144860.1 1 12325,,
##sequence-region NW_022144861.1 1 12317,,
##sequence-region NW_022144862.1 1 12297,,
##sequence-region NW_022144863.1 1 12291,,
##sequence-region NW_022144864.1 1 12247,,
##sequence-region NW_022144865.1 1 12235,,
##sequence-region NW_022144866.1 1 12202,,
##sequence-region NW_022144867.1 1 12165,,
##sequence-region NW_022144868.1 1 12125,,
##sequence-region NW_022144869.1 1 12087,,
##sequence-region NW_022144870.1 1 11997,,
##sequence-region NW_022144871.1 1 11989,,
##sequence-region NW_022144872.1 1 11899,,
##sequence-region NW_022144873.1 1 11852,,
##sequence-region NW_022144874.1 1 11838,,
##sequence-region NW_022144875.1 1 11825,,
##sequence-region NW_022144876.1 1 11673,,
##sequence-region NW_022144877.1 1 11635,,
##sequence-region NW_022144878.1 1 11630,,
##sequence-region NW_022144879.1 1 11539,,
##sequence-region NW_022144880.1 1 11518,,
##sequence-region NW_022144881.1 1 11448,,
##sequence-region NW_022144882.1 1 11400,,
##sequence-region NW_022144883.1 1 11312,,
##sequence-region NW_022144884.1 1 11268,,
##sequence-region NW_022144885.1 1 11127,,
##sequence-region NW_022144886.1 1 74569,,
##sequence-region NW_022144887.1 1 11069,,
##sequence-region NW_022144888.1 1 11058,,
##sequence-region NW_022144889.1 1 11056,,
##sequence-region NW_022144890.1 1 10990,,
##sequence-region NW_022144891.1 1 10968,,
##sequence-region NW_022144892.1 1 10910,,
##sequence-region NW_022144893.1 1 10903,,
##sequence-region NW_022144894.1 1 10814,,
##sequence-region NW_022144895.1 1 10747,,
##sequence-region NW_022144896.1 1 10744,,
##sequence-region NW_022144897.1 1 116516,,
##sequence-region NW_022144898.1 1 10667,,
##sequence-region NW_022144899.1 1 10605,,
##sequence-region NW_022144900.1 1 10598,,
##sequence-region NW_022144901.1 1 10582,,
##sequence-region NW_022144902.1 1 10532,,
##sequence-region NW_022144903.1 1 10529,,
##sequence-region NW_022144904.1 1 10526,,
##sequence-region NW_022144905.1 1 10508,,
##sequence-region NW_022144906.1 1 10376,,
##sequence-region NW_022144907.1 1 10259,,
##sequence-region NW_022144908.1 1 57212,,
##sequence-region NW_022144909.1 1 10257,,
##sequence-region NW_022144910.1 1 10238,,
##sequence-region NW_022144911.1 1 10215,,
##sequence-region NW_022144912.1 1 10118,,
##sequence-region NW_022144913.1 1 10045,,
##sequence-region NW_022144914.1 1 10027,,
##sequence-region NW_022144915.1 1 10023,,
##sequence-region NW_022144916.1 1 9977,,
##sequence-region NW_022144917.1 1 9968,,
##sequence-region NW_022144918.1 1 9948,,
##sequence-region NW_022144919.1 1 101694,,
##sequence-region NW_022144920.1 1 9893,,
##sequence-region NW_022144921.1 1 9870,,
##sequence-region NW_022144922.1 1 9860,,
##sequence-region NW_022144923.1 1 9823,,
##sequence-region NW_022144924.1 1 9823,,
##sequence-region NW_022144925.1 1 9791,,
##sequence-region NW_022144926.1 1 9769,,
##sequence-region NW_022144927.1 1 9710,,
##sequence-region NW_022144928.1 1 9694,,
##sequence-region NW_022144929.1 1 9642,,
##sequence-region NW_022144930.1 1 49449,,
##sequence-region NW_022144931.1 1 9636,,
##sequence-region NW_022144932.1 1 9590,,
##sequence-region NW_022144933.1 1 9519,,
##sequence-region NW_022144934.1 1 9503,,
##sequence-region NW_022144935.1 1 9369,,
##sequence-region NW_022144936.1 1 9315,,
##sequence-region NW_022144937.1 1 9305,,
##sequence-region NW_022144938.1 1 9294,,
##sequence-region NW_022144939.1 1 9275,,
##sequence-region NW_022144940.1 1 9267,,
##sequence-region NW_022144941.1 1 159342,,
##sequence-region NW_022144942.1 1 9236,,
##sequence-region NW_022144943.1 1 9207,,
##sequence-region NW_022144944.1 1 9202,,
##sequence-region NW_022144945.1 1 9131,,
##sequence-region NW_022144946.1 1 9108,,
##sequence-region NW_022144947.1 1 9060,,
##sequence-region NW_022144948.1 1 9047,,
##sequence-region NW_022144949.1 1 9042,,
##sequence-region NW_022144950.1 1 8932,,
##sequence-region NW_022144951.1 1 8878,,
##sequence-region NW_022144952.1 1 134345,,
##sequence-region NW_022144953.1 1 8840,,
##sequence-region NW_022144954.1 1 8825,,
##sequence-region NW_022144955.1 1 8703,,
##sequence-region NW_022144956.1 1 8644,,
##sequence-region NW_022144957.1 1 8617,,
##sequence-region NW_022144958.1 1 8592,,
##sequence-region NW_022144959.1 1 8588,,
##sequence-region NW_022144960.1 1 8539,,
##sequence-region NW_022144961.1 1 8519,,
##sequence-region NW_022144962.1 1 8514,,
##sequence-region NW_022144963.1 1 63343,,
##sequence-region NW_022144964.1 1 8499,,
##sequence-region NW_022144965.1 1 8462,,
##sequence-region NW_022144966.1 1 8446,,
##sequence-region NW_022144967.1 1 8427,,
##sequence-region NW_022144968.1 1 8371,,
##sequence-region NW_022144969.1 1 8367,,
##sequence-region NW_022144970.1 1 8351,,
##sequence-region NW_022144971.1 1 8336,,
##sequence-region NW_022144972.1 1 8298,,
##sequence-region NW_022144973.1 1 8278,,
##sequence-region NW_022144974.1 1 161611,,
##sequence-region NW_022144975.1 1 8272,,
##sequence-region NW_022144976.1 1 8270,,
##sequence-region NW_022144977.1 1 8265,,
##sequence-region NW_022144978.1 1 8229,,
##sequence-region NW_022144979.1 1 8217,,
##sequence-region NW_022144980.1 1 8208,,
##sequence-region NW_022144981.1 1 8193,,
##sequence-region NW_022144982.1 1 8177,,
##sequence-region NW_022144983.1 1 8151,,
##sequence-region NW_022144984.1 1 8029,,
##sequence-region NW_022144985.1 1 24776,,
##sequence-region NW_022144986.1 1 8004,,
##sequence-region NW_022144987.1 1 7998,,
##sequence-region NW_022144988.1 1 7984,,
##sequence-region NW_022144989.1 1 7982,,
##sequence-region NW_022144990.1 1 7899,,
##sequence-region NW_022144991.1 1 7891,,
##sequence-region NW_022144992.1 1 7805,,
##sequence-region NW_022144993.1 1 7728,,
##sequence-region NW_022144994.1 1 7684,,
##sequence-region NW_022144995.1 1 7678,,
##sequence-region NW_022144996.1 1 71277,,
##sequence-region NW_022144997.1 1 7613,,
##sequence-region NW_022144998.1 1 7609,,
##sequence-region NW_022144999.1 1 7608,,
##sequence-region NW_022145000.1 1 7606,,
##sequence-region NW_022145001.1 1 7549,,
##sequence-region NW_022145002.1 1 7546,,
##sequence-region NW_022145003.1 1 7508,,
##sequence-region NW_022145004.1 1 7486,,
##sequence-region NW_022145005.1 1 7447,,
##sequence-region NW_022145006.1 1 7443,,
##sequence-region NW_022145007.1 1 83156,,
##sequence-region NW_022145008.1 1 7433,,
##sequence-region NW_022145009.1 1 7407,,
##sequence-region NW_022145010.1 1 7379,,
##sequence-region NW_022145011.1 1 7365,,
##sequence-region NW_022145012.1 1 7323,,
##sequence-region NW_022145013.1 1 7318,,
##sequence-region NW_022145014.1 1 7312,,
##sequence-region NW_022145015.1 1 7291,,
##sequence-region NW_022145016.1 1 7291,,
##sequence-region NW_022145017.1 1 7290,,
##sequence-region NW_022145018.1 1 387561,,
##sequence-region NW_022145019.1 1 7256,,
##sequence-region NW_022145020.1 1 7195,,
##sequence-region NW_022145021.1 1 7190,,
##sequence-region NW_022145022.1 1 7187,,
##sequence-region NW_022145023.1 1 7105,,
##sequence-region NW_022145024.1 1 7072,,
##sequence-region NW_022145025.1 1 6971,,
##sequence-region NW_022145026.1 1 6961,,
##sequence-region NW_022145027.1 1 6912,,
##sequence-region NW_022145028.1 1 6909,,
##sequence-region NW_022145029.1 1 136630,,
##sequence-region NW_022145030.1 1 6887,,
##sequence-region NW_022145031.1 1 6886,,
##sequence-region NW_022145032.1 1 6870,,
##sequence-region NW_022145033.1 1 6839,,
##sequence-region NW_022145034.1 1 6827,,
##sequence-region NW_022145035.1 1 6767,,
##sequence-region NW_022145036.1 1 6748,,
##sequence-region NW_022145037.1 1 6730,,
##sequence-region NW_022145038.1 1 6694,,
##sequence-region NW_022145039.1 1 6606,,
##sequence-region NW_022145040.1 1 120375,,
##sequence-region NW_022145041.1 1 6594,,
##sequence-region NW_022145042.1 1 6590,,
##sequence-region NW_022145043.1 1 6510,,
##sequence-region NW_022145044.1 1 6461,,
##sequence-region NW_022145045.1 1 6450,,
##sequence-region NW_022145046.1 1 6448,,
##sequence-region NW_022145047.1 1 6422,,
##sequence-region NW_022145048.1 1 6417,,
##sequence-region NW_022145049.1 1 6412,,
##sequence-region NW_022145050.1 1 6336,,
##sequence-region NW_022145051.1 1 69137,,
##sequence-region NW_022145052.1 1 6319,,
##sequence-region NW_022145053.1 1 6318,,
##sequence-region NW_022145054.1 1 6313,,
##sequence-region NW_022145055.1 1 6268,,
##sequence-region NW_022145056.1 1 6197,,
##sequence-region NW_022145057.1 1 6184,,
##sequence-region NW_022145058.1 1 6166,,
##sequence-region NW_022145059.1 1 6156,,
##sequence-region NW_022145060.1 1 6138,,
##sequence-region NW_022145061.1 1 6137,,
##sequence-region NW_022145062.1 1 47922,,
##sequence-region NW_022145063.1 1 6118,,
##sequence-region NW_022145064.1 1 6116,,
##sequence-region NW_022145065.1 1 6099,,
##sequence-region NW_022145066.1 1 6082,,
##sequence-region NW_022145067.1 1 6078,,
##sequence-region NW_022145068.1 1 6067,,
##sequence-region NW_022145069.1 1 6042,,
##sequence-region NW_022145070.1 1 5912,,
##sequence-region NW_022145071.1 1 5907,,
##sequence-region NW_022145072.1 1 5903,,
##sequence-region NW_022145073.1 1 125721,,
##sequence-region NW_022145074.1 1 5886,,
##sequence-region NW_022145075.1 1 5854,,
##sequence-region NW_022145076.1 1 5852,,
##sequence-region NW_022145077.1 1 5819,,
##sequence-region NW_022145078.1 1 5814,,
##sequence-region NW_022145079.1 1 5721,,
##sequence-region NW_022145080.1 1 5718,,
##sequence-region NW_022145081.1 1 5711,,
##sequence-region NW_022145082.1 1 5699,,
##sequence-region NW_022145083.1 1 5623,,
##sequence-region NW_022145084.1 1 104907,,
##sequence-region NW_022145085.1 1 5609,,
##sequence-region NW_022145086.1 1 5578,,
##sequence-region NW_022145087.1 1 5530,,
##sequence-region NW_022145088.1 1 5487,,
##sequence-region NW_022145089.1 1 5471,,
##sequence-region NW_022145090.1 1 5461,,
##sequence-region NW_022145091.1 1 5422,,
##sequence-region NW_022145092.1 1 5321,,
##sequence-region NW_022145093.1 1 5319,,
##sequence-region NW_022145094.1 1 5316,,
##sequence-region NW_022145095.1 1 119971,,
##sequence-region NW_022145096.1 1 5304,,
##sequence-region NW_022145097.1 1 3350,,
##sequence-region NW_022145098.1 1 5251,,
##sequence-region NW_022145099.1 1 5225,,
##sequence-region NW_022145100.1 1 5219,,
##sequence-region NW_022145101.1 1 5188,,
##sequence-region NW_022145102.1 1 5187,,
##sequence-region NW_022145103.1 1 5181,,
##sequence-region NW_022145104.1 1 5153,,
##sequence-region NW_022145105.1 1 5115,,
##sequence-region NW_022145106.1 1 20950,,
##sequence-region NW_022145107.1 1 5060,,
##sequence-region NW_022145108.1 1 5029,,
##sequence-region NW_022145109.1 1 5000,,
##sequence-region NW_022145110.1 1 4989,,
##sequence-region NW_022145111.1 1 4972,,
##sequence-region NW_022145112.1 1 4951,,
##sequence-region NW_022145113.1 1 4927,,
##sequence-region NW_022145114.1 1 4917,,
##sequence-region NW_022145115.1 1 4906,,
##sequence-region NW_022145116.1 1 4896,,
##sequence-region NW_022145117.1 1 47376,,
##sequence-region NW_022145118.1 1 4884,,
##sequence-region NW_022145119.1 1 4868,,
##sequence-region NW_022145120.1 1 4846,,
##sequence-region NW_022145121.1 1 4840,,
##sequence-region NW_022145122.1 1 4808,,
##sequence-region NW_022145123.1 1 4782,,
##sequence-region NW_022145124.1 1 4764,,
##sequence-region NW_022145125.1 1 4758,,
##sequence-region NW_022145126.1 1 4727,,
##sequence-region NW_022145127.1 1 4706,,
##sequence-region NW_022145128.1 1 91882,,
##sequence-region NW_022145129.1 1 2752,,
##sequence-region NW_022145130.1 1 4677,,
##sequence-region NW_022145131.1 1 4671,,
##sequence-region NW_022145132.1 1 4669,,
##sequence-region NW_022145133.1 1 4668,,
##sequence-region NW_022145134.1 1 4653,,
##sequence-region NW_022145135.1 1 4651,,
##sequence-region NW_022145136.1 1 4645,,
##sequence-region NW_022145137.1 1 4640,,
##sequence-region NW_022145138.1 1 4620,,
##sequence-region NW_022145139.1 1 94356,,
##sequence-region NW_022145140.1 1 4613,,
##sequence-region NW_022145141.1 1 4575,,
##sequence-region NW_022145142.1 1 4559,,
##sequence-region NW_022145143.1 1 4528,,
##sequence-region NW_022145144.1 1 4497,,
##sequence-region NW_022145145.1 1 4490,,
##sequence-region NW_022145146.1 1 4434,,
##sequence-region NW_022145147.1 1 4423,,
##sequence-region NW_022145148.1 1 4412,,
##sequence-region NW_022145149.1 1 4409,,
##sequence-region NW_022145150.1 1 68008,,
##sequence-region NW_022145151.1 1 4402,,
##sequence-region NW_022145152.1 1 4394,,
##sequence-region NW_022145153.1 1 4383,,
##sequence-region NW_022145154.1 1 4376,,
##sequence-region NW_022145155.1 1 4348,,
##sequence-region NW_022145156.1 1 4334,,
##sequence-region NW_022145157.1 1 4293,,
##sequence-region NW_022145158.1 1 4264,,
##sequence-region NW_022145159.1 1 4175,,
##sequence-region NW_022145160.1 1 4161,,
##sequence-region NW_022145161.1 1 115902,,
##sequence-region NW_022145162.1 1 4158,,
##sequence-region NW_022145163.1 1 4151,,
##sequence-region NW_022145164.1 1 4108,,
##sequence-region NW_022145165.1 1 4090,,
##sequence-region NW_022145166.1 1 4087,,
##sequence-region NW_022145167.1 1 4077,,
##sequence-region NW_022145168.1 1 4077,,
##sequence-region NW_022145169.1 1 4076,,
##sequence-region NW_022145170.1 1 4072,,
##sequence-region NW_022145171.1 1 4046,,
##sequence-region NW_022145172.1 1 67843,,
##sequence-region NW_022145173.1 1 4043,,
##sequence-region NW_022145174.1 1 3970,,
##sequence-region NW_022145175.1 1 3944,,
##sequence-region NW_022145176.1 1 3937,,
##sequence-region NW_022145177.1 1 3926,,
##sequence-region NW_022145178.1 1 3913,,
##sequence-region NW_022145179.1 1 3904,,
##sequence-region NW_022145180.1 1 3861,,
##sequence-region NW_022145181.1 1 3845,,
##sequence-region NW_022145182.1 1 3825,,
##sequence-region NW_022145183.1 1 35970,,
##sequence-region NW_022145184.1 1 3822,,
##sequence-region NW_022145185.1 1 3818,,
##sequence-region NW_022145186.1 1 3774,,
##sequence-region NW_022145187.1 1 3757,,
##sequence-region NW_022145188.1 1 3756,,
##sequence-region NW_022145189.1 1 1796,,
##sequence-region NW_022145190.1 1 3752,,
##sequence-region NW_022145191.1 1 3747,,
##sequence-region NW_022145192.1 1 3728,,
##sequence-region NW_022145193.1 1 3705,,
##sequence-region NW_022145194.1 1 44435,,
##sequence-region NW_022145195.1 1 3675,,
##sequence-region NW_022145196.1 1 3656,,
##sequence-region NW_022145197.1 1 3591,,
##sequence-region NW_022145198.1 1 3572,,
##sequence-region NW_022145199.1 1 3560,,
##sequence-region NW_022145200.1 1 3523,,
##sequence-region NW_022145201.1 1 3516,,
##sequence-region NW_022145202.1 1 3511,,
##sequence-region NW_022145203.1 1 3498,,
##sequence-region NW_022145204.1 1 3481,,
##sequence-region NW_022145205.1 1 79806,,
##sequence-region NW_022145206.1 1 3465,,
##sequence-region NW_022145207.1 1 3398,,
##sequence-region NW_022145208.1 1 3377,,
##sequence-region NW_022145209.1 1 3370,,
##sequence-region NW_022145210.1 1 3355,,
##sequence-region NW_022145211.1 1 3352,,
##sequence-region NW_022145212.1 1 3330,,
##sequence-region NW_022145213.1 1 3323,,
##sequence-region NW_022145214.1 1 3314,,
##sequence-region NW_022145215.1 1 3309,,
##sequence-region NW_022145216.1 1 46122,,
##sequence-region NW_022145217.1 1 3298,,
##sequence-region NW_022145218.1 1 3258,,
##sequence-region NW_022145219.1 1 3240,,
##sequence-region NW_022145220.1 1 3239,,
##sequence-region NW_022145221.1 1 3235,,
##sequence-region NW_022145222.1 1 3233,,
##sequence-region NW_022145223.1 1 3216,,
##sequence-region NW_022145224.1 1 3205,,
##sequence-region NW_022145225.1 1 3205,,
##sequence-region NW_022145226.1 1 3194,,
##sequence-region NW_022145227.1 1 47480,,
##sequence-region NW_022145228.1 1 3187,,
##sequence-region NW_022145229.1 1 3176,,
##sequence-region NW_022145230.1 1 3167,,
##sequence-region NW_022145231.1 1 3161,,
##sequence-region NW_022145232.1 1 3157,,
##sequence-region NW_022145233.1 1 3154,,
##sequence-region NW_022145234.1 1 3141,,
##sequence-region NW_022145235.1 1 3124,,
##sequence-region NW_022145236.1 1 3116,,
##sequence-region NW_022145237.1 1 3114,,
##sequence-region NW_022145238.1 1 45709,,
##sequence-region NW_022145239.1 1 3091,,
##sequence-region NW_022145240.1 1 3085,,
##sequence-region NW_022145241.1 1 3074,,
##sequence-region NW_022145242.1 1 3062,,
##sequence-region NW_022145243.1 1 3046,,
##sequence-region NW_022145244.1 1 3045,,
##sequence-region NW_022145245.1 1 3020,,
##sequence-region NW_022145246.1 1 3009,,
##sequence-region NW_022145247.1 1 2958,,
##sequence-region NW_022145248.1 1 2949,,
##sequence-region NW_022145249.1 1 29338,,
##sequence-region NW_022145250.1 1 2946,,
##sequence-region NW_022145251.1 1 2939,,
##sequence-region NW_022145252.1 1 2904,,
##sequence-region NW_022145253.1 1 2889,,
##sequence-region NW_022145254.1 1 2888,,
##sequence-region NW_022145255.1 1 2888,,
##sequence-region NW_022145256.1 1 2876,,
##sequence-region NW_022145257.1 1 2866,,
##sequence-region NW_022145258.1 1 2861,,
##sequence-region NW_022145259.1 1 1344,,
##sequence-region NW_022145260.1 1 47144,,
##sequence-region NW_022145261.1 1 2843,,
##sequence-region NW_022145262.1 1 2822,,
##sequence-region NW_022145263.1 1 2787,,
##sequence-region NW_022145264.1 1 2772,,
##sequence-region NW_022145265.1 1 2767,,
##sequence-region NW_022145266.1 1 2759,,
##sequence-region NW_022145267.1 1 2749,,
##sequence-region NW_022145268.1 1 2741,,
##sequence-region NW_022145269.1 1 2728,,
##sequence-region NW_022145270.1 1 2717,,
##sequence-region NW_022145271.1 1 63049,,
##sequence-region NW_022145272.1 1 2707,,
##sequence-region NW_022145273.1 1 2703,,
##sequence-region NW_022145274.1 1 868,,
##sequence-region NW_022145275.1 1 2658,,
##sequence-region NW_022145276.1 1 2639,,
##sequence-region NW_022145277.1 1 2636,,
##sequence-region NW_022145278.1 1 2628,,
##sequence-region NW_022145279.1 1 2612,,
##sequence-region NW_022145280.1 1 2578,,
##sequence-region NW_022145281.1 1 2532,,
##sequence-region NW_022145282.1 1 32392,,
##sequence-region NW_022145283.1 1 2515,,
##sequence-region NW_022145284.1 1 2502,,
##sequence-region NW_022145285.1 1 2496,,
##sequence-region NW_022145286.1 1 2435,,
##sequence-region NW_022145287.1 1 2428,,
##sequence-region NW_022145288.1 1 2392,,
##sequence-region NW_022145289.1 1 2386,,
##sequence-region NW_022145290.1 1 2275,,
##sequence-region NW_022145291.1 1 2256,,
##sequence-region NW_022145292.1 1 2232,,
##sequence-region NW_022145293.1 1 59163,,
##sequence-region NW_022145294.1 1 2229,,
##sequence-region NW_022145295.1 1 2226,,
##sequence-region NW_022145296.1 1 2220,,
##sequence-region NW_022145297.1 1 2217,,
##sequence-region NW_022145298.1 1 2213,,
##sequence-region NW_022145299.1 1 2192,,
##sequence-region NW_022145300.1 1 2175,,
##sequence-region NW_022145301.1 1 2168,,
##sequence-region NW_022145302.1 1 2157,,
##sequence-region NW_022145303.1 1 2145,,
##sequence-region NW_022145304.1 1 32983,,
##sequence-region NW_022145305.1 1 2135,,
##sequence-region NW_022145306.1 1 2133,,
##sequence-region NW_022145307.1 1 2129,,
##sequence-region NW_022145308.1 1 2118,,
##sequence-region NW_022145309.1 1 2105,,
##sequence-region NW_022145310.1 1 2099,,
##sequence-region NW_022145311.1 1 2070,,
##sequence-region NW_022145312.1 1 2062,,
##sequence-region NW_022145313.1 1 2059,,
##sequence-region NW_022145314.1 1 2052,,
##sequence-region NW_022145315.1 1 56963,,
##sequence-region NW_022145316.1 1 2045,,
##sequence-region NW_022145317.1 1 2026,,
##sequence-region NW_022145318.1 1 1994,,
##sequence-region NW_022145319.1 1 1994,,
##sequence-region NW_022145320.1 1 1992,,
##sequence-region NW_022145321.1 1 1988,,
##sequence-region NW_022145322.1 1 1981,,
##sequence-region NW_022145323.1 1 1965,,
##sequence-region NW_022145324.1 1 1960,,
##sequence-region NW_022145325.1 1 1946,,
##sequence-region NW_022145326.1 1 57626,,
##sequence-region NW_022145327.1 1 1943,,
##sequence-region NW_022145328.1 1 1939,,
##sequence-region NW_022145329.1 1 1929,,
##sequence-region NW_022145330.1 1 1926,,
##sequence-region NW_022145331.1 1 1861,,
##sequence-region NW_022145332.1 1 1839,,
##sequence-region NW_022145333.1 1 1835,,
##sequence-region NW_022145334.1 1 1833,,
##sequence-region NW_022145335.1 1 1806,,
##sequence-region NW_022145336.1 1 1754,,
##sequence-region NW_022145337.1 1 54544,,
##sequence-region NW_022145338.1 1 1727,,
##sequence-region NW_022145339.1 1 1708,,
##sequence-region NW_022145340.1 1 1659,,
##sequence-region NW_022145341.1 1 1599,,
##sequence-region NW_022145342.1 1 1579,,
##sequence-region NW_022145343.1 1 1570,,
##sequence-region NW_022145344.1 1 1553,,
##sequence-region NW_022145345.1 1 1540,,
##sequence-region NW_022145346.1 1 1528,,
##sequence-region NW_022145347.1 1 1523,,
##sequence-region NW_022145348.1 1 76140,,
##sequence-region NW_022145349.1 1 1511,,
##sequence-region NW_022145350.1 1 1492,,
##sequence-region NW_022145351.1 1 1491,,
##sequence-region NW_022145352.1 1 1490,,
##sequence-region NW_022145353.1 1 1486,,
##sequence-region NW_022145354.1 1 1479,,
##sequence-region NW_022145355.1 1 1460,,
##sequence-region NW_022145356.1 1 1428,,
##sequence-region NW_022145357.1 1 1387,,
##sequence-region NW_022145358.1 1 1384,,
##sequence-region NW_022145359.1 1 60007,,
##sequence-region NW_022145360.1 1 1362,,
##sequence-region NW_022145361.1 1 1362,,
##sequence-region NW_022145362.1 1 1300,,
##sequence-region NW_022145363.1 1 1277,,
##sequence-region NW_022145364.1 1 1265,,
##sequence-region NW_022145365.1 1 1255,,
##sequence-region NW_022145366.1 1 1254,,
##sequence-region NW_022145367.1 1 1154,,
##sequence-region NW_022145368.1 1 1142,,
##sequence-region NW_022145369.1 1 1099,,
##sequence-region NW_022145370.1 1 74314,,
##sequence-region NW_022145371.1 1 1072,,
##sequence-region NW_022145372.1 1 1035,,
##sequence-region NW_022145373.1 1 1007,,
##sequence-region NW_022145374.1 1 1000,,
##sequence-region NW_022145375.1 1 10000,,
##sequence-region NW_022145376.1 1 25000,,
##sequence-region NW_022145377.1 1 50000,,
##sequence-region NW_022145378.1 1 26863,,
##sequence-region NW_022145379.1 1 23852,,
##sequence-region NW_022145380.1 1 23611,,
##sequence-region NW_022145381.1 1 55218,,
##sequence-region NW_022145382.1 1 23435,,
