yourlist:M202202226320BA52A5CE8FCD097CB85A53697A3542D570B	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC100892257	A0A7M7SY74	A0A7M7SY74_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	309
LOC583642	A0A7M7NT04	A0A7M7NT04_STRPU	unreviewed	MFS_1_like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	770
LOC592519	A0A7M7PRE1	A0A7M7PRE1_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1512
LOC592519	A0A7M7PSA1	A0A7M7PSA1_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1738
LOC592519	A0A7M7PUF0	A0A7M7PUF0_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1543
LOC592519	A0A7M7T5M6	A0A7M7T5M6_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1713
LOC592519	A0A7M7T5P0	A0A7M7T5P0_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1756
LOC100889432	A0A7M7GI58	A0A7M7GI58_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	614
LOC115922639	A0A7M7NKC9	A0A7M7NKC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	74
LOC578635	A0A7M7TGB8	A0A7M7TGB8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	436
LOC585628	A0A7M7NDP6	A0A7M7NDP6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	556
LOC585628	A0A7M7NG66	A0A7M7NG66_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	490
LOC574669	A0A7M7N9C8	A0A7M7N9C8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1972
LOC574669	A0A7M7N9G2	A0A7M7N9G2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2059
LOC574669	A0A7M7N9I8	A0A7M7N9I8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2042
LOC574669	A0A7M7N9M8	A0A7M7N9M8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2060
LOC574669	A0A7M7N9P1	A0A7M7N9P1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2059
LOC574669	A0A7M7N9Q2	A0A7M7N9Q2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2053
LOC574669	A0A7M7NA05	A0A7M7NA05_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1802
LOC574669	A0A7M7NBH5	A0A7M7NBH5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2059
LOC574669	A0A7M7NBI7	A0A7M7NBI7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1741
LOC574669	A0A7M7NBS1	A0A7M7NBS1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2022
LOC574669	A0A7M7NCT8	A0A7M7NCT8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2010
LOC574669	A0A7M7SUX4	A0A7M7SUX4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2009
LOC574669	A0A7M7SV12	A0A7M7SV12_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1971
LOC578724	A0A7M7LU14	A0A7M7LU14_STRPU	unreviewed	Thyroliberin receptor (Thyrotropin-releasing hormone receptor)		Strongylocentrotus purpuratus (Purple sea urchin)	441
LOC579094	A0A7M7RAY2	A0A7M7RAY2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	956
LOC763460	A0A7M7SX74	A0A7M7SX74_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	616
LOC584262	A0A7M7NUH4	A0A7M7NUH4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2459
LOC584262	A0A7M7SYS1	A0A7M7SYS1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2460
LOC580822	A0A7M7PL99	A0A7M7PL99_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2452
LOC580822	A0A7M7PMC5	A0A7M7PMC5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2428
LOC580822	A0A7M7PMU1	A0A7M7PMU1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2410
LOC580822	A0A7M7PP07	A0A7M7PP07_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2445
LOC580822	A0A7M7PP61	A0A7M7PP61_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2417
LOC580822	A0A7M7PQJ8	A0A7M7PQJ8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2441
LOC580822	A0A7M7PRY8	A0A7M7PRY8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2437
LOC580822	A0A7M7T4N0	A0A7M7T4N0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2052
LOC580822	A0A7M7T4N7	A0A7M7T4N7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2434
LOC583805	A0A7M7GFP8	A0A7M7GFP8_STRPU	unreviewed	WH1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	362
LOC583805	A0A7M7TGX9	A0A7M7TGX9_STRPU	unreviewed	WH1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC589978	A0A7M7PM54	A0A7M7PM54_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	837
LOC582858	A0A7M7RF61	A0A7M7RF61_STRPU	unreviewed	Arpin		Strongylocentrotus purpuratus (Purple sea urchin)	226
LOC100892904	A0A7M7NBS3	A0A7M7NBS3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1167
LOC579887	A0A7M7R9V5	A0A7M7R9V5_STRPU	unreviewed	SSD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1332
LOC594485	A0A7M7SSL6	A0A7M7SSL6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	457
LOC588883	A0A7M7HLX3	A0A7M7HLX3_STRPU	unreviewed	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)		Strongylocentrotus purpuratus (Purple sea urchin)	2414
LOC588883	A0A7M7RDZ2	A0A7M7RDZ2_STRPU	unreviewed	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)		Strongylocentrotus purpuratus (Purple sea urchin)	2413
LOC577641	A0A7M7HEV7	A0A7M7HEV7_STRPU	unreviewed	HTH OST-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	647
LOC577641	A0A7M7HF14	A0A7M7HF14_STRPU	unreviewed	HTH OST-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	644
LOC577641	A0A7M7HI58	A0A7M7HI58_STRPU	unreviewed	HTH OST-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	677
LOC577641	A0A7M7HLU1	A0A7M7HLU1_STRPU	unreviewed	HTH OST-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	676
LOC580072	A0A7M7HG60	A0A7M7HG60_STRPU	unreviewed	Rho-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	826
LOC580072	A0A7M7HJ30	A0A7M7HJ30_STRPU	unreviewed	Rho-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	827
LOC580072	A0A7M7HK09	A0A7M7HK09_STRPU	unreviewed	Rho-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	799
LOC105441171	A0A7M7P492	A0A7M7P492_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5182
LOC105441171	A0A7M7P497	A0A7M7P497_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5010
LOC105441171	A0A7M7P4B1	A0A7M7P4B1_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5091
LOC105441171	A0A7M7P4D7	A0A7M7P4D7_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	4835
LOC105441171	A0A7M7P4N7	A0A7M7P4N7_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5053
LOC105441171	A0A7M7P4P8	A0A7M7P4P8_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	4792
LOC105441171	A0A7M7P4Q2	A0A7M7P4Q2_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5263
LOC105441171	A0A7M7P4R3	A0A7M7P4R3_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5010
LOC105441171	A0A7M7P4Z1	A0A7M7P4Z1_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5053
LOC105441171	A0A7M7P5E4	A0A7M7P5E4_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5181
LOC105441171	A0A7M7P5F4	A0A7M7P5F4_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5010
LOC105441171	A0A7M7P6D7	A0A7M7P6D7_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5271
LOC105441171	A0A7M7P6R3	A0A7M7P6R3_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5053
LOC105441171	A0A7M7P6S4	A0A7M7P6S4_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	4792
LOC105441171	A0A7M7P746	A0A7M7P746_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5228
LOC105441171	A0A7M7P758	A0A7M7P758_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5010
LOC105441171	A0A7M7PA35	A0A7M7PA35_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5053
LOC105441171	A0A7M7PA48	A0A7M7PA48_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	4652
LOC105441171	A0A7M7T127	A0A7M7T127_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5053
LOC105441171	A0A7M7T145	A0A7M7T145_STRPU	unreviewed	CTCK domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	5010
LOC115929737	A0A7M7PR67	A0A7M7PR67_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	411
LOC583995	A0A7M7MXS9	A0A7M7MXS9_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1791
LOC583995	A0A7M7MXW0	A0A7M7MXW0_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1824
LOC583995	A0A7M7MXY6	A0A7M7MXY6_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1854
LOC583995	A0A7M7MY23	A0A7M7MY23_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1759
LOC583995	A0A7M7MYV0	A0A7M7MYV0_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1887
LOC583995	A0A7M7MYX5	A0A7M7MYX5_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1822
LOC583995	A0A7M7N035	A0A7M7N035_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1855
LOC583995	A0A7M7SSI1	A0A7M7SSI1_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1855
LOC583995	A0A7M7SSM5	A0A7M7SSM5_STRPU	unreviewed	Microtubule-associated protein		Strongylocentrotus purpuratus (Purple sea urchin)	1855
LOC582036	A0A7M7PPX1	A0A7M7PPX1_STRPU	unreviewed	ZP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1394
LOC105438856	A0A7M7NKY0	A0A7M7NKY0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	720
LOC763311	A0A7M7P1R9	A0A7M7P1R9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4032
LOC100892319	A0A7M7PBF5	A0A7M7PBF5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	871
LOC100892319	A0A7M7PCR2	A0A7M7PCR2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	882
LOC754729	A0A7M7G122	A0A7M7G122_STRPU	unreviewed	Fn3_like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	752
LOC592160	A0A7M7PP19	A0A7M7PP19_STRPU	unreviewed	MADS-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	438
LOC592160	A0A7M7PQS1	A0A7M7PQS1_STRPU	unreviewed	MADS-box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	497
LOC100893623	A0A7M7PH22	A0A7M7PH22_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	536
LOC762827	A0A7M7G186	A0A7M7G186_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	569
LOC762827	A0A7M7N7I0	A0A7M7N7I0_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	489
LOC105442531	A0A7M7P8C6	A0A7M7P8C6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	451
LOC582776	A0A7M7P472	A0A7M7P472_STRPU	unreviewed	Adenylate cyclase (EC 4.6.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1208
LOC105444682	A0A7M7LWD4	A0A7M7LWD4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	796
LOC105442066	A0A7M7LT89	A0A7M7LT89_STRPU	unreviewed	BHLH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	262
LOC582857	A0A7M7HLV4	A0A7M7HLV4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	933
LOC582857	A0A7M7HPM4	A0A7M7HPM4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1060
LOC582857	A0A7M7RCA7	A0A7M7RCA7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1054
LOC105442099	A0A7M7NUJ3	A0A7M7NUJ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	305
LOC764716	A0A7M7P8J6	A0A7M7P8J6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3493
LOC764716	A0A7M7P933	A0A7M7P933_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3471
LOC764716	A0A7M7P971	A0A7M7P971_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3492
LOC764716	A0A7M7PAJ0	A0A7M7PAJ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3393
LOC764716	A0A7M7PBB8	A0A7M7PBB8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3492
LOC764716	A0A7M7PE83	A0A7M7PE83_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3491
LOC764716	A0A7M7T1X7	A0A7M7T1X7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3491
LOC764716	A0A7M7T1Z3	A0A7M7T1Z3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3450
LOC582493	A0A7M7RCL6	A0A7M7RCL6_STRPU	unreviewed	Fumarylacetoacetase (EC 3.7.1.2) (Fumarylacetoacetate hydrolase)		Strongylocentrotus purpuratus (Purple sea urchin)	418
LOC100893847	A0A7M7GJL9	A0A7M7GJL9_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	378
LOC105437745	A0A7M7LVM4	A0A7M7LVM4_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	367
LOC575353	A0A7M7N1V0	A0A7M7N1V0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2794
LOC764044	A0A7M7N8D3	A0A7M7N8D3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	895
LOC115920337	A0A7M7N819	A0A7M7N819_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC105438324	A0A7M7HLG2	A0A7M7HLG2_STRPU	unreviewed	Fibrinogen C-terminal domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	217
LOC756337	A0A7M7NLH7	A0A7M7NLH7_STRPU	unreviewed	Eukaryotic translation initiation factor 2A (eIF-2A)		Strongylocentrotus purpuratus (Purple sea urchin)	585
LOC582485	A0A7M7P5M8	A0A7M7P5M8_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	540
LOC583100	A0A7M7HJP0	A0A7M7HJP0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1463
LOC582631	A0A7M7SY23	A0A7M7SY23_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	12941
LOC579509	A0A7M7N7N2	A0A7M7N7N2_STRPU	unreviewed	Nuclear pore protein		Strongylocentrotus purpuratus (Purple sea urchin)	836
LOC100888702	A0A7M7SWH3	A0A7M7SWH3_STRPU	unreviewed	CUB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1193
LOC579853	A0A7M7P0N4	A0A7M7P0N4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0P9	A0A7M7P0P9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0Q9	A0A7M7P0Q9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0R9	A0A7M7P0R9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
