yourlist:M202202224ABAA9BC7178C81CEBC9459510EDDEA342BAF8Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC105437288	A0A7M7PE62	A0A7M7PE62_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	234
LOC584475	A0A7M7HH62	A0A7M7HH62_STRPU	unreviewed	F420_oxidored domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	380
LOC100892804	A0A7M7LPT7	A0A7M7LPT7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	123
LOC105447249	A0A7M7LU36	A0A7M7LU36_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	493
LOC105440317	A0A7M7NR36	A0A7M7NR36_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	233
LOC105440317	A0A7M7NTX1	A0A7M7NTX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	200
LOC575900	A0A7M7PUL7	A0A7M7PUL7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	476
LOC115919906	A0A7M7STJ3	A0A7M7STJ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	116
LOC115922639	A0A7M7NKC9	A0A7M7NKC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	74
LOC591210	A0A7M7REU6	A0A7M7REU6_STRPU	unreviewed	UBC core domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	448
LOC115924821	A0A7M7P3Z5	A0A7M7P3Z5_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	410
LOC115920565	A0A7M7N7P6	A0A7M7N7P6_STRPU	unreviewed	P-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	187
LOC105446162	A0A7M7SXE6	A0A7M7SXE6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	324
LOC589462	A0A7M7SW15	A0A7M7SW15_STRPU	unreviewed	cGMP-dependent protein kinase (EC 2.7.11.12)		Strongylocentrotus purpuratus (Purple sea urchin)	597
LOC576677	A0A7M7RF42	A0A7M7RF42_STRPU	unreviewed	BTB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	234
LOC115920339	A0A7M7N645	A0A7M7N645_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	473
LOC581752	A0A7M7P8P7	A0A7M7P8P7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	479
LOC593493	A0A7M7RFD2	A0A7M7RFD2_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	876
LOC764142	A0A7M7NNC0	A0A7M7NNC0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	550
LOC764142	A0A7M7NNJ7	A0A7M7NNJ7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	558
LOC100889316	A0A7M7GGH8	A0A7M7GGH8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	665
LOC100889316	A0A7M7HK25	A0A7M7HK25_STRPU	unreviewed	SCP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	704
LOC100889316	A0A7M7HK78	A0A7M7HK78_STRPU	unreviewed	SCP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	644
LOC105442531	A0A7M7P8C6	A0A7M7P8C6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	451
LOC105441299	A0A7M7NJC6	A0A7M7NJC6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	778
LOC577117	A0A7M7NPP7	A0A7M7NPP7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	271
LOC587513	A0A7M7HCQ2	A0A7M7HCQ2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	401
LOC578837	A0A7M7STJ1	A0A7M7STJ1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	252
LOC580477	A0A7M7P5M3	A0A7M7P5M3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	267
LOC579510	A0A7M7MX74	A0A7M7MX74_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2528
LOC579510	A0A7M7MY76	A0A7M7MY76_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2271
LOC579510	A0A7M7SSH0	A0A7M7SSH0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2563
LOC115920337	A0A7M7N819	A0A7M7N819_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC100894064	A0A7M7SUH3	A0A7M7SUH3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	570
LOC100889993	A0A7M7PI25	A0A7M7PI25_STRPU	unreviewed	DM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	469
LOC575719	A0A7M7GHY8	A0A7M7GHY8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	380
LOC754912	A0A7M7NLY2	A0A7M7NLY2_STRPU	unreviewed	MAM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	562
LOC754912	A0A7M7NPG3	A0A7M7NPG3_STRPU	unreviewed	MAM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	578
LOC594805	A0A7M7NZV6	A0A7M7NZV6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	632
LOC584145	A0A7M7P4W0	A0A7M7P4W0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	721
LOC584145	A0A7M7P632	A0A7M7P632_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	714
LOC100893681	A0A7M7LVR1	A0A7M7LVR1_STRPU	unreviewed	GOLD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	374
LOC115923872	A0A7M7SYP6	A0A7M7SYP6_STRPU	unreviewed	Peptidase S1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	142
LOC115921866	A0A7M7NFQ0	A0A7M7NFQ0_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	356
LOC105440933	A0A7M7HNB7	A0A7M7HNB7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	230
LOC583790	A0A7M7HMP8	A0A7M7HMP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC105438591	A0A7M7HFM1	A0A7M7HFM1_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	916
LOC115928152	A0A7M7PFY1	A0A7M7PFY1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1178
LOC582291	A0A7M7HNX0	A0A7M7HNX0_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC105447244	A0A7M7LWQ2	A0A7M7LWQ2_STRPU	unreviewed	C-type lectin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	158
LOC105439622	A0A7M7N2J8	A0A7M7N2J8_STRPU	unreviewed	RING-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	636
LOC115918247	A0A7M7ST51	A0A7M7ST51_STRPU	unreviewed	Nudix hydrolase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	384
LOC100892178	A0A7M7GH33	A0A7M7GH33_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	428
LOC587932	A0A7M7RGX3	A0A7M7RGX3_STRPU	unreviewed	Acyl_transf_3 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	798
LOC589172	A0A7M7PC44	A0A7M7PC44_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1240
LOC115919990	A0A7M7N659	A0A7M7N659_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	210
LOC100893023	A0A7M7GMK1	A0A7M7GMK1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	200
LOC105439110	A0A7M7PC51	A0A7M7PC51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	447
LOC581691	A0A7M7NMW0	A0A7M7NMW0_STRPU	unreviewed	Zinc-hook domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1316
LOC105447576	A0A7M7HRB3	A0A7M7HRB3_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	445
LOC753790	A0A7M7LKX2	A0A7M7LKX2_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	320
LOC105437407	A0A7M7NGB7	A0A7M7NGB7_STRPU	unreviewed	F5/8 type C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	414
LOC105440265	A0A7M7NCC1	A0A7M7NCC1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	210
LOC105440265	A0A7M7NTQ2	A0A7M7NTQ2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	205
LOC100887875	A0A7M7PS41	A0A7M7PS41_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	259
LOC100893045	A0A7M7PIN1	A0A7M7PIN1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	622
LOC591663	A0A7M7RG94	A0A7M7RG94_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	438
LOC753887	A0A7M7G0M3	A0A7M7G0M3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	124
LOC105439419	A0A7M7N791	A0A7M7N791_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	143
LOC753988	A0A7M7GGH0	A0A7M7GGH0_STRPU	unreviewed	DUF3498 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC753988	A0A7M7HK49	A0A7M7HK49_STRPU	unreviewed	DUF3498 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	248
