first.seqnames	first.start	first.end	first.width	first.strand	second.seqnames	second.start	second.end	second.width	second.strand
Scaffold1006	46689	46783	95	*	Scaffold15285	15158	15252	95	*
Scaffold1006	38328	38381	54	*	Scaffold15285	21231	21284	54	*
Scaffold1006	52444	52517	74	*	Scaffold15285	14096	14169	74	*
Scaffold1006	32475	32564	90	*	Scaffold15285	26134	26223	90	*
Scaffold1006	36361	36445	85	*	Scaffold15285	23219	23302	84	*
Scaffold1006	8389	8450	62	*	Scaffold1763	88077	88138	62	*
Scaffold1006	46681	46783	103	*	Scaffold1763	59923	60025	103	*
Scaffold1006	30676	30911	236	*	Scaffold1763	70495	70729	235	*
Scaffold1006	26550	26629	80	*	Scaffold1763	75632	75711	80	*
Scaffold1006	30920	30987	68	*	Scaffold1763	70419	70486	68	*
Scaffold1006	7153	7214	62	*	Scaffold1763	88077	88138	62	*
Scaffold1006	36361	36445	85	*	Scaffold1763	67202	67285	84	*
Scaffold1006	28770	28836	67	*	Scaffold1763	73568	73634	67	*
Scaffold1006	66276	66350	75	*	Scaffold1763	13768	13841	74	*
Scaffold1006	38328	38381	54	*	Scaffold1763	65160	65213	54	*
Scaffold1006	82114	82181	68	*	Scaffold1763	30023	30090	68	*
Scaffold1006	52444	52517	74	*	Scaffold1763	110	183	74	*
Scaffold1006	8493	8543	51	*	Scaffold1763	87984	88034	51	*
Scaffold1006	7257	7307	51	*	Scaffold1763	87984	88034	51	*
Scaffold1006	52444	52517	74	*	Scaffold1763	59082	59155	74	*
Scaffold1006	11564	11625	62	*	Scaffold1763	83835	83896	62	*
Scaffold1006	26650	26733	84	*	Scaffold1763	75529	75612	84	*
Scaffold1006	34562	34678	117	*	Scaffold1763	68972	69088	117	*
Scaffold1006	80150	80229	80	*	Scaffold1763	28301	28380	80	*
Scaffold1006	55934	55992	59	*	Scaffold1763	2897	2956	60	*
Scaffold10061	47798	47924	127	*	Scaffold122	138986	139112	127	*
Scaffold10061	73120	73183	64	*	Scaffold122	162351	162413	63	*
Scaffold10061	71504	71555	52	*	Scaffold122	161627	161678	52	*
Scaffold10061	77197	77249	53	*	Scaffold122	166748	166800	53	*
Scaffold10061	58272	58323	52	*	Scaffold122	148234	148285	52	*
Scaffold10061	53956	54011	56	*	Scaffold122	143790	143845	56	*
Scaffold10061	58536	58613	78	*	Scaffold122	148495	148574	80	*
Scaffold10061	54240	54294	55	*	Scaffold122	144061	144115	55	*
Scaffold10061	47512	47599	88	*	Scaffold122	138700	138787	88	*
Scaffold10061	71876	71934	59	*	Scaffold122	162351	162408	58	*
Scaffold10061	71796	71847	52	*	Scaffold122	162257	162308	52	*
Scaffold10061	47392	47453	62	*	Scaffold122	138580	138641	62	*
Scaffold10061	73040	73091	52	*	Scaffold122	162257	162308	52	*
Scaffold10061	66472	66522	51	*	Scaffold122	156372	156422	51	*
Scaffold10061	68867	68917	51	*	Scaffold122	158346	158396	51	*
Scaffold10061	42652	42743	92	*	Scaffold5224	6971	7060	90	*
Scaffold10063	21025	21080	56	*	Scaffold943	86185	86240	56	*
Scaffold10063	17960	18015	56	*	Scaffold943	86185	86240	56	*
Scaffold10064	30455	30581	127	*	Scaffold215	171022	171148	127	*
Scaffold10064	1690	1749	60	*	Scaffold3000	3348	3407	60	*
Scaffold10064	42731	42813	83	*	Scaffold470	293407	293489	83	*
Scaffold10065	6282	6353	72	*	Scaffold13579	1247	1318	72	*
Scaffold1007	59256	59310	55	*	Scaffold26	799425	799480	56	*
Scaffold1007	57948	58029	82	*	Scaffold26	799421	799502	82	*
Scaffold1007	59466	59516	51	*	Scaffold26	799636	799686	51	*
Scaffold1007	20960	21062	103	*	Scaffold26	765371	765473	103	*
Scaffold1007	58163	58213	51	*	Scaffold3844	18757	18807	51	*
Scaffold1007	57948	58029	82	*	Scaffold3844	18542	18623	82	*
Scaffold10070	895	961	67	*	Scaffold573	493730	493794	65	*
Scaffold10070	87	161	75	*	Scaffold573	494507	494581	75	*
Scaffold10070	8420	8500	81	*	Scaffold573	489632	489712	81	*
Scaffold10070	5557	5637	81	*	Scaffold573	489632	489712	81	*
Scaffold10070	8331	8403	73	*	Scaffold573	489729	489801	73	*
Scaffold10070	5458	5540	83	*	Scaffold573	489729	489811	83	*
Scaffold10070	9646	9758	113	*	Scaffold573	487721	487833	113	*
Scaffold10070	13	84	72	*	Scaffold573	494584	494654	71	*
Scaffold10073	75	131	57	*	Scaffold511	496053	496109	57	*
Scaffold100754	16	92	77	*	Scaffold1093	3022	3098	77	*
Scaffold100755	75	131	57	*	Scaffold102	536261	536317	57	*
Scaffold10079	26143	26215	73	*	Scaffold966	689167	689239	73	*
Scaffold10082	16123	16175	53	*	Scaffold153	302800	302852	53	*
Scaffold10082	25347	25539	193	*	Scaffold153	308100	308292	193	*
Scaffold10085	60220	60277	58	*	Scaffold5	704822	704880	59	*
Scaffold10086	31191	31313	123	*	Scaffold402	434982	435103	122	*
Scaffold10086	8073	8123	51	*	Scaffold402	386120	386170	51	*
Scaffold10086	10755	10805	51	*	Scaffold402	386120	386170	51	*
Scaffold100862	40	95	56	*	Scaffold2330	257381	257436	56	*
Scaffold10088	23146	23197	52	*	Scaffold4466	13478	13529	52	*
Scaffold101	96629	96678	50	*	Scaffold1003	152830	152879	50	*
Scaffold101	96308	96363	56	*	Scaffold1229	115689	115744	56	*
Scaffold101	76016	76065	50	*	Scaffold164	730396	730445	50	*
Scaffold101	122085	122142	58	*	Scaffold170	636144	636201	58	*
Scaffold101	41343	41421	79	*	Scaffold224	403726	403804	79	*
Scaffold101	142149	142237	89	*	Scaffold224	321029	321118	90	*
Scaffold101	110719	110778	60	*	Scaffold224	352257	352316	60	*
Scaffold101	69608	69666	59	*	Scaffold224	374271	374329	59	*
Scaffold101	179702	179780	79	*	Scaffold224	289433	289511	79	*
Scaffold101	117214	117264	51	*	Scaffold224	345091	345141	51	*
Scaffold101	124931	124991	61	*	Scaffold224	339901	339961	61	*
Scaffold101	179782	179844	63	*	Scaffold224	289369	289431	63	*
Scaffold101	84371	84432	62	*	Scaffold224	370823	370883	61	*
Scaffold101	141981	142036	56	*	Scaffold224	321238	321293	56	*
Scaffold101	152867	152936	70	*	Scaffold224	311533	311602	70	*
Scaffold101	167689	167755	67	*	Scaffold224	298465	298531	67	*
Scaffold101	143277	143332	56	*	Scaffold224	319908	319963	56	*
Scaffold101	55079	55142	64	*	Scaffold224	394789	394853	65	*
Scaffold101	41343	41421	79	*	Scaffold224	427583	427661	79	*
Scaffold101	148624	148674	51	*	Scaffold224	315447	315497	51	*
Scaffold101	65775	65856	82	*	Scaffold224	384509	384590	82	*
Scaffold101	76761	76973	213	*	Scaffold224	378368	378581	214	*
Scaffold101	121274	121369	96	*	Scaffold224	342638	342732	95	*
Scaffold101	162883	162961	79	*	Scaffold224	303242	303320	79	*
Scaffold101	179863	179912	50	*	Scaffold224	289301	289350	50	*
Scaffold101	152718	152780	63	*	Scaffold224	311688	311749	62	*
Scaffold101	132072	132125	54	*	Scaffold2390	18658	18711	54	*
Scaffold101	132074	132125	52	*	Scaffold31790	4340	4391	52	*
Scaffold101	126710	126760	51	*	Scaffold415	123495	123545	51	*
Scaffold101	132070	132124	55	*	Scaffold511	870179	870233	55	*
Scaffold101	147010	147351	342	*	Scaffold5191	8273	8614	342	*
Scaffold101	146947	147009	63	*	Scaffold5191	8641	8703	63	*
Scaffold101	96860	96914	55	*	Scaffold572	225425	225479	55	*
Scaffold101	122810	122865	56	*	Scaffold622	166273	166328	56	*
Scaffold101	131675	131727	53	*	Scaffold668	10309	10361	53	*
Scaffold101	37641	37697	57	*	Scaffold704	195478	195534	57	*
Scaffold101	132074	132125	52	*	Scaffold837	261294	261345	52	*
Scaffold10100	73172	73224	53	*	Scaffold698	48751	48803	53	*
Scaffold10100	34610	34666	57	*	Scaffold698	80603	80659	57	*
Scaffold10100	34393	34444	52	*	Scaffold698	80829	80880	52	*
Scaffold10100	38845	38894	50	*	Scaffold698	77291	77340	50	*
Scaffold10100	49786	49842	57	*	Scaffold698	68134	68190	57	*
Scaffold10100	40596	40702	107	*	Scaffold698	76060	76166	107	*
Scaffold10100	38754	38836	83	*	Scaffold698	77349	77431	83	*
Scaffold10100	61507	61562	56	*	Scaffold698	59039	59094	56	*
Scaffold10100	52774	52830	57	*	Scaffold698	68134	68190	57	*
Scaffold10100	25726	25797	72	*	Scaffold698	89918	89989	72	*
Scaffold101015	60	110	51	*	Scaffold5109	437	487	51	*
Scaffold10102	20424	20493	70	*	Scaffold202	744840	744909	70	*
Scaffold10102	20685	20742	58	*	Scaffold202	748156	748213	58	*
Scaffold10102	15544	15616	73	*	Scaffold202	744840	744912	73	*
Scaffold10102	20559	20608	50	*	Scaffold202	746122	746171	50	*
Scaffold10102	20685	20742	58	*	Scaffold26309	802	859	58	*
Scaffold10104	31174	31241	68	*	Scaffold704	195396	195463	68	*
Scaffold1011	82135	82202	68	*	Scaffold340	645936	646003	68	*
Scaffold10110	39632	39681	50	*	Scaffold1031	39376	39425	50	*
Scaffold10110	28404	28454	51	*	Scaffold3106	8307	8357	51	*
Scaffold10110	28404	28454	51	*	Scaffold92	445343	445393	51	*
Scaffold10110	28316	28374	59	*	Scaffold92	445423	445481	59	*
Scaffold10111	48888	48939	52	*	Scaffold1996	25455	25506	52	*
Scaffold10112	26697	26764	68	*	Scaffold8391	3967	4034	68	*
Scaffold10114	5776	5996	221	*	Scaffold1831	1334	1551	218	*
Scaffold10114	5998	6187	190	*	Scaffold1831	1143	1332	190	*
Scaffold10114	5689	5760	72	*	Scaffold1831	35416	35487	72	*
Scaffold10114	5536	5685	150	*	Scaffold1831	35493	35641	149	*
Scaffold10114	5998	6190	193	*	Scaffold55	1296183	1296375	193	*
Scaffold10114	5942	5996	55	*	Scaffold55	1296377	1296431	55	*
Scaffold10119	21260	21333	74	*	Scaffold633	196338	196411	74	*
Scaffold101259	143	201	59	*	Scaffold1847	64930	64988	59	*
Scaffold10126	21190	21256	67	*	Scaffold2161	121801	121867	67	*
Scaffold1013	18041	18093	53	*	Scaffold28386	242	294	53	*
Scaffold1013	31213	31277	65	*	Scaffold755	178873	178937	65	*
Scaffold10131	5915	5985	71	*	Scaffold28	605436	605508	73	*
Scaffold10131	6310	6380	71	*	Scaffold28	605871	605939	69	*
Scaffold10131	6448	6496	49	*	Scaffold28	606013	606061	49	*
Scaffold101324	771	825	55	*	Scaffold22659	143	197	55	*
Scaffold10134	47402	47457	56	*	Scaffold79	445874	445929	56	*
Scaffold10134	48613	48663	51	*	Scaffold79	445065	445114	50	*
Scaffold101376	3526	3632	107	*	Scaffold404	177447	177555	109	*
Scaffold101376	3526	3604	79	*	Scaffold404	166355	166433	79	*
Scaffold10138	5736	5795	60	*	Scaffold3553	24772	24831	60	*
Scaffold10139	5193	5245	53	*	Scaffold12562	1506	1559	54	*
Scaffold10139	3382	3434	53	*	Scaffold1446	173321	173373	53	*
Scaffold10139	10218	10269	52	*	Scaffold1446	167415	167466	52	*
Scaffold10139	2503	2553	51	*	Scaffold1446	174172	174222	51	*
Scaffold10139	9064	9134	71	*	Scaffold1446	168817	168887	71	*
Scaffold10139	1206	1268	63	*	Scaffold1446	175559	175620	62	*
Scaffold10139	2503	2553	51	*	Scaffold2074	74434	74484	51	*
Scaffold10139	5193	5245	53	*	Scaffold8377	2610	2663	54	*
Scaffold1014	99260	99320	61	*	Scaffold30079	1134	1194	61	*
Scaffold1014	4766	4819	54	*	Scaffold394	203442	203497	56	*
Scaffold1014	94662	94716	55	*	Scaffold394	294762	294815	54	*
Scaffold1014	93106	93164	59	*	Scaffold394	292665	292723	59	*
Scaffold1014	100827	100881	55	*	Scaffold394	304578	304632	55	*
